,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,customer_id,location_id
0,M,F,1,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,1,c0,loc0
1,M,M,0,Bachelors Degree,Silver,Professional,Y,4,$50K - $70K,0,c1,loc0
2,S,F,4,Partial High School,Normal,Manual,N,1,$10K - $30K,0,c2,loc0
3,M,F,2,High School Degree,Bronze,Manual,Y,2,$30K - $50K,2,c3,loc0
4,M,M,0,Partial High School,Bronze,Skilled Manual,N,2,$30K - $50K,0,c4,loc0
5,M,F,2,Bachelors Degree,Bronze,Professional,N,1,$50K - $70K,2,c5,loc0
6,S,F,4,High School Degree,Bronze,Skilled Manual,N,2,$30K - $50K,0,c6,loc0
7,S,M,1,Partial High School,Bronze,Manual,Y,4,$50K - $70K,0,c7,loc0
8,S,F,2,Partial High School,Normal,Skilled Manual,N,2,$10K - $30K,0,c8,loc0
9,S,F,3,Graduate Degree,Bronze,Professional,N,1,$70K - $90K,0,c9,loc0
10,S,M,2,Graduate Degree,Bronze,Professional,N,3,$70K - $90K,0,c10,loc0
11,S,M,1,Bachelors Degree,Bronze,Professional,N,2,$110K - $130K,0,c11,loc0
12,S,F,4,High School Degree,Bronze,Skilled Manual,N,1,$30K - $50K,0,c12,loc0
13,S,F,0,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,c13,loc0
14,S,F,4,High School Degree,Bronze,Professional,Y,4,$130K - $150K,0,c14,loc0
15,M,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$50K - $70K,0,c15,loc0
16,S,F,1,Partial High School,Silver,Professional,Y,3,$150K +,0,c16,loc0
17,M,M,0,Partial High School,Normal,Manual,N,0,$10K - $30K,0,c17,loc0
18,M,M,2,High School Degree,Silver,Management,N,2,$130K - $150K,2,c18,loc18
19,M,M,2,High School Degree,Bronze,Professional,Y,3,$70K - $90K,2,c19,loc18
20,M,M,3,High School Degree,Golden,Professional,Y,3,$130K - $150K,3,c20,loc18
21,M,F,3,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,3,c21,loc18
22,S,F,3,High School Degree,Bronze,Manual,N,1,$30K - $50K,0,c22,loc18
23,M,F,4,Bachelors Degree,Bronze,Professional,Y,1,$30K - $50K,1,c23,loc18
24,S,M,2,Partial High School,Bronze,Management,Y,2,$90K - $110K,0,c24,loc18
25,M,F,2,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,1,c25,loc18
26,S,M,1,Partial High School,Normal,Skilled Manual,N,2,$50K - $70K,0,c26,loc18
