,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,promotion_name,sales_country,media_type,cost,id,store_id,customer_id,product_id
0,7.36,2.7232,4,Bag Stuffers,USA,"Daily Paper, Radio",126.62,0,s0,c0,prod0
1,5.52,2.5944,3,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,1,s0,c1,prod0
2,3.68,1.3616,2,High Roller Savings,USA,"Daily Paper, Radio",84.16,2,s0,c2,prod0
3,3.68,1.1776,2,Cash Register Lottery,USA,In-Store Coupon,95.78,3,s0,c3,prod0
4,7.36,2.5024,4,Dollar Days,USA,"Daily Paper, Radio",138.81,18,s18,c18,prod0
5,5.52,2.1528,3,Two Day Sale,USA,Daily Paper,103.65,19,s18,c19,prod0
6,7.36,3.5328,4,Super Duper Savers,USA,Sunday Paper,69.65,20,s18,c20,prod0
7,7.36,3.2384,4,Weekend Markdown,USA,In-Store Coupon,73.05,21,s18,c21,prod0
8,5.52,2.1528,3,Savings Galore,USA,Street Handout,138.53,40,s40,c40,prod0
9,5.52,2.1528,3,Unbeatable Price Savers,USA,Bulk Mail,66.78,41,s40,c41,prod0
10,5.52,1.8768,3,Weekend Markdown,USA,"Daily Paper, Radio",69.63,42,s40,c42,prod0
11,3.68,1.3984,2,Weekend Markdown,USA,"Daily Paper, Radio",69.63,43,s40,c43,prod0
12,3.68,1.288,2,Big Promo,USA,Cash Register Handout,123.88,44,s40,c44,prod0
13,3.68,1.5824,2,Price Slashers,USA,Radio,76.98,45,s40,c45,prod0
14,7.36,3.1648,4,Go For It,USA,Street Handout,97.45,59,s58,c59,prod0
15,7.36,3.2384,4,Super Savers,USA,"Sunday Paper, Radio",64.99,60,s58,c59,prod0
16,3.68,1.1408,2,Super Duper Savers,USA,Daily Paper,100.91,61,s58,c61,prod0
17,5.52,1.7112,3,Wallet Savers,USA,"Sunday Paper, Radio, TV",79.95,62,s58,c62,prod0
18,3.68,1.3984,2,Big Time Discounts,USA,"Daily Paper, Radio, TV",146.41,73,s73,c73,prod0
19,3.68,1.5824,2,One Day Sale,USA,"Daily Paper, Radio, TV",85.88,82,s82,c82,prod0
20,5.52,2.2632,3,One Day Sale,USA,"Daily Paper, Radio, TV",85.88,83,s82,c83,prod0
21,5.52,2.6496,3,Fantastic Discounts,USA,Radio,137.46,84,s82,c84,prod0
22,7.36,3.6064,4,Shelf Emptiers,USA,Street Handout,137.34,85,s82,c85,prod0
23,5.52,2.484,3,Two Day Sale,USA,"Daily Paper, Radio",149.75,86,s82,c86,prod0
24,5.52,2.3184,3,You Save Days,USA,TV,108.22,100,s100,c100,prod0
25,3.68,1.3248,2,Free For All,USA,Daily Paper,52.06,101,s100,c101,prod0
26,3.68,1.3248,2,Shelf Clearing Days,USA,In-Store Coupon,109.21,174,s113,c113,prod0
27,5.52,2.6496,3,Shelf Clearing Days,USA,Sunday Paper,106.1,175,s113,c114,prod0
28,7.36,2.3552,4,Green Light Special,USA,In-Store Coupon,123.02,176,s113,c115,prod0
29,5.52,2.7048,3,Green Light Special,USA,In-Store Coupon,123.02,177,s113,c116,prod0
30,4.08,1.428,3,Double Down Sale,USA,Radio,50.79,4,s0,c4,prod4
31,4.08,1.4688,3,Double Down Sale,USA,Radio,50.79,5,s0,c5,prod4
32,5.44,2.5568,4,Cash Register Lottery,USA,In-Store Coupon,95.78,6,s0,c6,prod4
33,4.08,1.4688,3,Cash Register Lottery,USA,"Daily Paper, Radio",59.86,8,s0,c8,prod4
34,4.08,1.3464,3,Big Time Savings,USA,Radio,53.45,12,s0,c12,prod4
35,4.08,1.7952,3,Dollar Cutters,USA,"Sunday Paper, Radio",136.74,23,s18,c23,prod4
36,5.44,2.0128,4,Sales Galore,USA,Product Attachment,149.08,24,s18,c24,prod4
37,5.44,2.3392,4,Super Duper Savers,USA,Sunday Paper,69.65,33,s18,c33,prod4
38,5.44,1.7408,4,Price Savers,USA,Street Handout,115.13,37,s18,c37,prod4
