marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home
M,F,1,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,1
M,M,0,Bachelors Degree,Silver,Professional,Y,4,$50K - $70K,0
S,F,4,Partial High School,Normal,Manual,N,1,$10K - $30K,0
M,F,2,High School Degree,Bronze,Manual,Y,2,$30K - $50K,2
M,M,0,Partial High School,Bronze,Skilled Manual,N,2,$30K - $50K,0
M,F,2,Bachelors Degree,Bronze,Professional,N,1,$50K - $70K,2
S,F,4,High School Degree,Bronze,Skilled Manual,N,2,$30K - $50K,0
S,M,1,Partial High School,Bronze,Manual,Y,4,$50K - $70K,0
S,F,2,Partial High School,Normal,Skilled Manual,N,2,$10K - $30K,0
S,F,3,Graduate Degree,Bronze,Professional,N,1,$70K - $90K,0
S,M,2,Graduate Degree,Bronze,Professional,N,3,$70K - $90K,0
S,M,1,Bachelors Degree,Bronze,Professional,N,2,$110K - $130K,0
S,F,4,High School Degree,Bronze,Skilled Manual,N,1,$30K - $50K,0
S,F,0,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0
S,F,4,High School Degree,Bronze,Professional,Y,4,$130K - $150K,0
M,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$50K - $70K,0
S,F,1,Partial High School,Silver,Professional,Y,3,$150K +,0
M,M,0,Partial High School,Normal,Manual,N,0,$10K - $30K,0
M,M,2,High School Degree,Silver,Management,N,2,$130K - $150K,2
M,M,2,High School Degree,Bronze,Professional,Y,3,$70K - $90K,2
M,M,3,High School Degree,Golden,Professional,Y,3,$130K - $150K,3
M,F,3,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,3
S,F,3,High School Degree,Bronze,Manual,N,1,$30K - $50K,0
M,F,4,Bachelors Degree,Bronze,Professional,Y,1,$30K - $50K,1
S,M,2,Partial High School,Bronze,Management,Y,2,$90K - $110K,0
M,F,2,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,1
S,M,1,Partial High School,Normal,Skilled Manual,N,2,$50K - $70K,0
S,M,4,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,0
M,M,5,High School Degree,Golden,Manual,N,3,$30K - $50K,5
S,M,5,High School Degree,Bronze,Manual,N,3,$30K - $50K,0
M,M,1,Partial High School,Normal,Skilled Manual,N,0,$10K - $30K,0
M,M,2,Partial High School,Normal,Manual,Y,0,$10K - $30K,2
S,M,1,Partial College,Bronze,Management,Y,1,$30K - $50K,0
M,M,4,High School Degree,Golden,Professional,Y,2,$90K - $110K,4
S,M,2,Bachelors Degree,Bronze,Management,Y,1,$110K - $130K,0
