promotion_name,media_type,cost,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions
Bag Stuffers,"Daily Paper, Radio",126.62,7.36,2.7232,4
Cash Register Lottery,"Daily Paper, Radio",59.86,5.52,2.5944,3
High Roller Savings,"Daily Paper, Radio",84.16,3.68,1.3616,2
Cash Register Lottery,In-Store Coupon,95.78,3.68,1.1776,2
Double Down Sale,Radio,50.79,4.08,1.428,3
Double Down Sale,Radio,50.79,4.08,1.4688,3
Cash Register Lottery,In-Store Coupon,95.78,5.44,2.5568,4
Cash Register Lottery,"Daily Paper, Radio",59.86,3.74,1.6082,2
Cash Register Lottery,"Daily Paper, Radio",59.86,4.08,1.4688,3
High Roller Savings,"Daily Paper, Radio",84.16,9.72,4.5684,3
Green Light Days,Daily Paper,66.27,9.72,4.0824,3
Bag Stuffers,Product Attachment,82.62,3.28,1.5416,2
Big Time Savings,Radio,53.45,4.08,1.3464,3
Bag Stuffers,"Daily Paper, Radio",126.62,4.92,2.3124,3
Price Savers,"Sunday Paper, Radio",80.29,7.48,3.1416,4
Cash Register Lottery,"Daily Paper, Radio",59.86,6.56,3.28,4
Price Slashers,"Sunday Paper, Radio, TV",54.11,5.61,2.1318,3
Bag Stuffers,Product Attachment,82.62,4.92,1.5744,3
Dollar Days,"Daily Paper, Radio",138.81,7.36,2.5024,4
Two Day Sale,Daily Paper,103.65,5.52,2.1528,3
Super Duper Savers,Sunday Paper,69.65,7.36,3.5328,4
Weekend Markdown,In-Store Coupon,73.05,7.36,3.2384,4
Super Duper Savers,Sunday Paper,69.65,4.92,2.1648,3
Dollar Cutters,"Sunday Paper, Radio",136.74,4.08,1.7952,3
Sales Galore,Product Attachment,149.08,5.44,2.0128,4
Big Promo,Sunday Paper,51.12,9.72,4.0824,3
Big Promo,Sunday Paper,51.12,4.92,1.722,3
Big Promo,Sunday Paper,51.12,6.48,3.1104,2
Weekend Markdown,In-Store Coupon,73.05,5.61,2.5806,3
Price Savers,Street Handout,115.13,5.61,2.4684,3
Free For All,In-Store Coupon,109.06,9.72,3.4992,3
Double Down Sale,TV,95.74,12.96,5.832,4
Super Duper Savers,Sunday Paper,69.65,4.92,2.3124,3
Super Duper Savers,Sunday Paper,69.65,5.44,2.3392,4
Super Duper Savers,Sunday Paper,69.65,5.61,2.4123,3
Super Duper Savers,Sunday Paper,69.65,7.48,2.6928,4
Big Promo,Sunday Paper,51.12,5.61,2.4123,3
Price Savers,Street Handout,115.13,5.44,1.7408,4
Dollar Days,"Daily Paper, Radio",138.81,7.48,2.244,4
Double Down Sale,TV,95.74,3.28,1.6072,2
Savings Galore,Street Handout,138.53,5.52,2.1528,3
Unbeatable Price Savers,Bulk Mail,66.78,5.52,2.1528,3
Weekend Markdown,"Daily Paper, Radio",69.63,5.52,1.8768,3
Weekend Markdown,"Daily Paper, Radio",69.63,3.68,1.3984,2
Big Promo,Cash Register Handout,123.88,3.68,1.288,2
Price Slashers,Radio,76.98,3.68,1.5824,2
Big Time Savings,In-Store Coupon,135.8,6.48,2.3328,2
Savings Galore,Street Handout,138.53,7.48,3.2912,4
Two Day Sale,Radio,91.28,6.48,2.1384,2
Price Smashers,Product Attachment,138.23,12.96,4.4064,4
Super Duper Savers,"Sunday Paper, Radio",80.0,5.61,2.1318,3
Shelf Clearing Days,Radio,99.77,12.96,4.9248,4
Weekend Markdown,"Daily Paper, Radio",69.63,6.48,3.24,2
Weekend Markdown,"Daily Paper, Radio",69.63,9.72,3.888,3
Two Day Sale,Radio,91.28,3.74,1.87,2
Two Day Sale,Radio,91.28,12.96,4.1472,4
Double Down Sale,Street Handout,59.19,4.92,2.0664,3
Unbeatable Price Savers,Bulk Mail,66.78,9.72,4.1796,3
Sales Days,Bulk Mail,116.74,4.08,1.7952,3
Go For It,Street Handout,97.45,7.36,3.1648,4
Super Savers,"Sunday Paper, Radio",64.99,7.36,3.2384,4
Super Duper Savers,Daily Paper,100.91,3.68,1.1408,2
Wallet Savers,"Sunday Paper, Radio, TV",79.95,5.52,1.7112,3
Super Savers,"Sunday Paper, Radio",64.99,3.28,1.0824,2
Save-It Sale,"Daily Paper, Radio, TV",89.37,9.72,4.2768,3
Savings Galore,"Sunday Paper, Radio",136.57,6.56,2.4928,4
Price Destroyers,"Daily Paper, Radio",62.26,3.28,1.148,2
Savings Galore,"Sunday Paper, Radio",136.57,5.61,1.9074,3
Double Down Sale,"Daily Paper, Radio",62.67,2.72,1.0336,2
Super Savers,"Sunday Paper, Radio",64.99,5.61,1.7391,3
Super Savers,"Sunday Paper, Radio",64.99,9.72,4.4712,3
Two for One,"Daily Paper, Radio, TV",57.52,2.72,0.8432,2
Two for One,"Daily Paper, Radio, TV",57.52,16.2,5.346,5
Big Time Discounts,"Daily Paper, Radio, TV",146.41,3.68,1.3984,2
Price Savers,Cash Register Handout,128.2,5.61,2.4684,3
Two for One,Daily Paper,68.97,12.96,4.536,4
Price Savers,Cash Register Handout,128.2,5.44,2.72,4
Shelf Emptiers,"Daily Paper, Radio, TV",107.89,6.56,2.8208,4
Weekend Markdown,Street Handout,53.37,9.72,4.0824,3
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,4.08,1.5096,3
Dollar Days,Sunday Paper,143.04,4.92,2.2632,3
Save-It Sale,Daily Paper,81.79,3.74,1.3464,2
One Day Sale,"Daily Paper, Radio, TV",85.88,3.68,1.5824,2
One Day Sale,"Daily Paper, Radio, TV",85.88,5.52,2.2632,3
Fantastic Discounts,Radio,137.46,5.52,2.6496,3
Shelf Emptiers,Street Handout,137.34,7.36,3.6064,4
Two Day Sale,"Daily Paper, Radio",149.75,5.52,2.484,3
Shelf Emptiers,Bulk Mail,117.86,4.08,1.836,3
Saving Days,"Sunday Paper, Radio, TV",67.11,5.44,1.6864,4
Bye Bye Baby,"Daily Paper, Radio, TV",58.16,12.96,6.0912,4
High Roller Savings,Daily Paper,101.84,9.72,3.7908,3
Two Day Sale,Sunday Paper,126.88,12.96,4.536,4
Save-It Sale,Daily Paper,81.79,4.08,1.5912,3
Shelf Emptiers,Street Handout,137.34,5.44,2.176,4
One Day Sale,"Daily Paper, Radio, TV",85.88,11.22,3.8148,6
One Day Sale,"Daily Paper, Radio, TV",85.88,12.96,4.9248,4
One Day Sale,"Daily Paper, Radio, TV",85.88,5.44,2.0128,4
Sales Galore,Bulk Mail,96.55,9.72,4.2768,3
Double Down Sale,Daily Paper,55.96,6.56,2.8208,4
You Save Days,TV,108.22,5.52,2.3184,3
Free For All,Daily Paper,52.06,3.68,1.3248,2
Weekend Markdown,Daily Paper,140.57,16.2,6.156,5
Sale Winners,Product Attachment,137.7,4.92,1.6236,3
High Roller Savings,TV,72.61,4.92,2.3124,3
Weekend Markdown,Street Handout,117.4,4.92,1.8696,3
Weekend Markdown,Daily Paper,140.57,6.8,2.04,5
Price Savers,Product Attachment,62.27,9.72,3.0132,3
Big Time Discounts,In-Store Coupon,145.6,6.48,3.24,2
Green Light Days,Cash Register Handout,139.19,4.08,1.9584,3
Coupon Spectacular,Daily Paper,90.58,3.28,1.3776,2
Super Savers,TV,114.98,1.36,0.4488,1
Sales Galore,"Daily Paper, Radio",109.03,1.87,0.6171,1
Shelf Clearing Days,In-Store Coupon,109.21,3.68,1.3248,2
Shelf Clearing Days,Sunday Paper,106.1,5.52,2.6496,3
