customer_id,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,location_id
c0,M,F,1,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,1,loc0
c1,M,M,0,Bachelors Degree,Silver,Professional,Y,4,$50K - $70K,0,loc0
c2,S,F,4,Partial High School,Normal,Manual,N,1,$10K - $30K,0,loc0
c3,M,F,2,High School Degree,Bronze,Manual,Y,2,$30K - $50K,2,loc0
c4,M,M,0,Partial High School,Bronze,Skilled Manual,N,2,$30K - $50K,0,loc0
c5,M,F,2,Bachelors Degree,Bronze,Professional,N,1,$50K - $70K,2,loc0
c6,S,F,4,High School Degree,Bronze,Skilled Manual,N,2,$30K - $50K,0,loc0
c7,S,M,1,Partial High School,Bronze,Manual,Y,4,$50K - $70K,0,loc0
c8,S,F,2,Partial High School,Normal,Skilled Manual,N,2,$10K - $30K,0,loc0
c9,S,F,3,Graduate Degree,Bronze,Professional,N,1,$70K - $90K,0,loc0
c10,S,M,2,Graduate Degree,Bronze,Professional,N,3,$70K - $90K,0,loc0
c11,S,M,1,Bachelors Degree,Bronze,Professional,N,2,$110K - $130K,0,loc0
c12,S,F,4,High School Degree,Bronze,Skilled Manual,N,1,$30K - $50K,0,loc0
c13,S,F,0,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,loc0
c14,S,F,4,High School Degree,Bronze,Professional,Y,4,$130K - $150K,0,loc0
c15,M,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$50K - $70K,0,loc0
c16,S,F,1,Partial High School,Silver,Professional,Y,3,$150K +,0,loc0
c17,M,M,0,Partial High School,Normal,Manual,N,0,$10K - $30K,0,loc0
c18,M,M,2,High School Degree,Silver,Management,N,2,$130K - $150K,2,loc18
c19,M,M,2,High School Degree,Bronze,Professional,Y,3,$70K - $90K,2,loc18
c20,M,M,3,High School Degree,Golden,Professional,Y,3,$130K - $150K,3,loc18
c21,M,F,3,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,3,loc18
c22,S,F,3,High School Degree,Bronze,Manual,N,1,$30K - $50K,0,loc18
c23,M,F,4,Bachelors Degree,Bronze,Professional,Y,1,$30K - $50K,1,loc18
c24,S,M,2,Partial High School,Bronze,Management,Y,2,$90K - $110K,0,loc18
c25,M,F,2,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,1,loc18
c26,S,M,1,Partial High School,Normal,Skilled Manual,N,2,$50K - $70K,0,loc18
c27,S,M,4,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,0,loc18
c28,M,M,5,High School Degree,Golden,Manual,N,3,$30K - $50K,5,loc18
c29,S,M,5,High School Degree,Bronze,Manual,N,3,$30K - $50K,0,loc18
c30,M,M,1,Partial High School,Normal,Skilled Manual,N,0,$10K - $30K,0,loc18
c31,M,M,2,Partial High School,Normal,Manual,Y,0,$10K - $30K,2,loc18
c32,S,M,1,Partial College,Bronze,Management,Y,1,$30K - $50K,0,loc18
c33,M,M,4,High School Degree,Golden,Professional,Y,2,$90K - $110K,4,loc18
c34,S,M,2,Bachelors Degree,Bronze,Management,Y,1,$110K - $130K,0,loc18
c35,M,F,4,Partial College,Golden,Professional,Y,3,$30K - $50K,4,loc18
c36,S,M,0,Partial High School,Bronze,Manual,Y,1,$30K - $50K,0,loc18
c37,M,M,1,High School Degree,Bronze,Management,Y,4,$130K - $150K,0,loc18
c38,M,M,2,Partial College,Bronze,Management,N,1,$30K - $50K,0,loc18
c39,S,F,1,Graduate Degree,Silver,Professional,Y,3,$150K +,0,loc18
