product_id,brand_name,food_category,food_department,food_family,SRP,gross_weight,net_weight,recyclable_package,low_fat,units_per_case
prod0,Carrington,Breakfast Foods,Frozen Foods,Food,1.84,19.7,17.7,1,0,17
prod4,Golden,Breakfast Foods,Frozen Foods,Food,1.36,7.12,5.11,0,1,29
prod7,Imagine,Breakfast Foods,Frozen Foods,Food,1.87,16.7,14.7,1,1,10
prod9,Big Time,Breakfast Foods,Frozen Foods,Food,3.24,16.3,14.2,1,0,25
prod11,PigTail,Breakfast Foods,Frozen Foods,Food,1.64,14.1,13.1,0,1,25
prod127,Fantastic,Bread,Baked Goods,Food,2.99,13.5,11.5,1,0,23
prod128,Great,Bread,Baked Goods,Food,3.27,17.4,14.3,1,0,35
prod130,Great,Bread,Baked Goods,Food,0.93,13.6,11.6,1,0,30
prod131,Sphinx,Bread,Baked Goods,Food,1.32,17.8,15.7,0,0,25
prod132,Modell,Bread,Baked Goods,Food,1.56,21.9,19.8,1,1,31
prod133,Modell,Bread,Baked Goods,Food,1.26,10.3,9.3,1,1,10
prod135,Sphinx,Bread,Baked Goods,Food,2.93,18.9,16.8,1,0,31
prod138,Fantastic,Bread,Baked Goods,Food,0.97,9.8,8.8,1,0,18
prod139,Colony,Bread,Baked Goods,Food,1.87,12.0,10.0,1,0,26
prod140,Great,Bread,Baked Goods,Food,3.74,8.5,7.5,0,1,21
prod142,Colony,Bread,Baked Goods,Food,3.27,7.71,5.71,0,0,18
prod143,Colony,Bread,Baked Goods,Food,1.42,18.9,16.8,1,0,2
prod145,Sphinx,Bread,Baked Goods,Food,1.95,10.1,7.1,1,1,35
prod150,Great,Bread,Baked Goods,Food,3.86,6.2,5.19,1,1,11
prod151,Modell,Bread,Baked Goods,Food,0.51,11.7,8.69,1,0,6
prod154,Sphinx,Bread,Baked Goods,Food,0.53,8.16,6.15,1,1,33
prod156,Modell,Bread,Baked Goods,Food,3.93,15.5,13.5,1,1,23
prod158,Colony,Bread,Baked Goods,Food,2.18,8.08,5.07,0,1,21
prod163,Fantastic,Bread,Baked Goods,Food,1.55,10.6,8.6,0,1,13
prod185,Fantastic,Bread,Baked Goods,Food,2.52,21.4,18.3,1,1,4
prod626,Blue Label,Canned Shrimp,Canned Foods,Food,2.86,8.86,6.85,0,0,2
prod628,Pleasant,Canned Shrimp,Canned Foods,Food,2.77,16.0,14.0,0,1,13
prod629,Bravo,Canned Shrimp,Canned Foods,Food,2.17,10.8,7.8,0,0,29
prod631,Better,Canned Shrimp,Canned Foods,Food,2.3,8.55,6.55,0,0,29
prod633,Just Right,Canned Shrimp,Canned Foods,Food,3.11,13.9,12.8,0,1,3
prod741,Plato,Baking Goods,Baking Goods,Food,1.13,7.95,6.94,0,0,5
prod742,BBB Best,Baking Goods,Baking Goods,Food,2.97,13.5,11.5,0,1,15
prod744,Landslide,Baking Goods,Baking Goods,Food,2.14,15.9,13.8,1,0,3
prod746,Super,Baking Goods,Baking Goods,Food,1.81,7.64,5.63,0,1,23
prod747,Super,Baking Goods,Baking Goods,Food,1.32,10.9,7.89,0,1,30
prod748,Landslide,Baking Goods,Baking Goods,Food,1.23,16.5,14.5,1,1,19
prod750,Plato,Baking Goods,Baking Goods,Food,0.77,13.4,10.3,1,1,26
prod751,Super,Baking Goods,Baking Goods,Food,2.73,17.5,14.5,1,1,3
prod752,CDR,Baking Goods,Baking Goods,Food,2.48,20.4,18.3,1,1,25
prod753,BBB Best,Baking Goods,Baking Goods,Food,1.84,15.4,14.3,0,1,13
prod755,BBB Best,Baking Goods,Baking Goods,Food,1.35,16.1,14.1,0,0,30
prod756,Plato,Baking Goods,Baking Goods,Food,1.49,21.7,19.7,0,1,19
prod758,Plato,Baking Goods,Baking Goods,Food,1.3,14.5,12.5,1,0,32
prod759,Landslide,Baking Goods,Baking Goods,Food,0.58,7.27,4.26,1,0,4
prod760,BBB Best,Baking Goods,Baking Goods,Food,1.54,15.5,13.5,1,1,4
prod762,Super,Baking Goods,Baking Goods,Food,2.22,9.24,7.23,0,0,32
prod772,CDR,Baking Goods,Baking Goods,Food,3.52,21.4,19.3,1,0,8
prod780,CDR,Baking Goods,Baking Goods,Food,1.39,8.7,7.69,0,0,8
prod791,CDR,Baking Goods,Baking Goods,Food,2.95,21.2,18.2,1,1,19
prod799,Landslide,Baking Goods,Baking Goods,Food,2.36,21.2,20.2,1,0,31
prod1239,High Top,Vegetables,Produce,Food,2.87,12.6,9.6,1,0,22
prod1240,Tri-State,Vegetables,Produce,Food,1.16,17.1,15.1,1,0,18
prod1241,Tri-State,Vegetables,Produce,Food,1.55,14.0,11.0,1,0,25
prod1242,Tri-State,Vegetables,Produce,Food,1.96,8.17,6.17,0,1,7
prod1243,Tri-State,Vegetables,Produce,Food,2.62,12.8,11.8,0,1,22
prod1244,High Top,Vegetables,Produce,Food,0.63,8.85,5.85,1,0,27
prod1246,High Top,Vegetables,Produce,Food,2.75,19.7,18.7,0,1,2
prod1247,Hermanos,Vegetables,Produce,Food,1.31,14.6,13.6,1,0,2
prod1249,Tell Tale,Vegetables,Produce,Food,1.36,13.5,11.5,0,1,19
prod1250,Ebony,Vegetables,Produce,Food,2.65,10.8,8.8,0,0,21
prod1251,Ebony,Vegetables,Produce,Food,2.88,16.9,13.8,0,1,14
prod1252,Tell Tale,Vegetables,Produce,Food,2.19,14.5,12.5,0,1,23
prod1253,Tell Tale,Vegetables,Produce,Food,3.64,8.35,6.35,0,1,4
prod1255,Hermanos,Vegetables,Produce,Food,2.18,18.3,17.2,0,0,17
prod1256,Hermanos,Vegetables,Produce,Food,0.93,18.3,16.2,1,1,30
prod1257,Hermanos,Vegetables,Produce,Food,3.91,17.2,15.2,1,0,11
prod1258,Tri-State,Vegetables,Produce,Food,2.5,6.66,4.65,1,0,1
prod1259,Ebony,Vegetables,Produce,Food,1.2,7.26,6.26,0,1,21
