promotion_id,promotion_name,media_type,cost,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,product_id,store_id,customer_id,location_id
prom0,Bag Stuffers,"Daily Paper, Radio",126.62,7.36,2.7232,4,prod0,s0,c0,loc0
prom1,Cash Register Lottery,"Daily Paper, Radio",59.86,5.52,2.5944,3,prod0,s0,c1,loc0
prom2,High Roller Savings,"Daily Paper, Radio",84.16,3.68,1.3616,2,prod0,s0,c2,loc0
prom3,Cash Register Lottery,In-Store Coupon,95.78,3.68,1.1776,2,prod0,s0,c3,loc0
prom4,Double Down Sale,Radio,50.79,4.08,1.428,3,prod4,s0,c4,loc0
prom5,Double Down Sale,Radio,50.79,4.08,1.4688,3,prod4,s0,c5,loc0
prom6,Cash Register Lottery,In-Store Coupon,95.78,5.44,2.5568,4,prod4,s0,c6,loc0
prom7,Cash Register Lottery,"Daily Paper, Radio",59.86,4.08,1.4688,3,prod4,s0,c8,loc0
prom8,Big Time Savings,Radio,53.45,4.08,1.3464,3,prod4,s0,c12,loc0
prom9,Cash Register Lottery,"Daily Paper, Radio",59.86,3.74,1.6082,2,prod7,s0,c7,loc0
prom10,Price Savers,"Sunday Paper, Radio",80.29,7.48,3.1416,4,prod7,s0,c14,loc0
prom11,Price Slashers,"Sunday Paper, Radio, TV",54.11,5.61,2.1318,3,prod7,s0,c16,loc0
prom12,High Roller Savings,"Daily Paper, Radio",84.16,9.72,4.5684,3,prod9,s0,c9,loc0
prom13,Green Light Days,Daily Paper,66.27,9.72,4.0824,3,prod9,s0,c10,loc0
prom14,Bag Stuffers,Product Attachment,82.62,3.28,1.5416,2,prod11,s0,c11,loc0
prom15,Bag Stuffers,"Daily Paper, Radio",126.62,4.92,2.3124,3,prod11,s0,c13,loc0
prom16,Cash Register Lottery,"Daily Paper, Radio",59.86,6.56,3.28,4,prod11,s0,c15,loc0
prom17,Bag Stuffers,Product Attachment,82.62,4.92,1.5744,3,prod11,s0,c17,loc0
prom18,Price Savers,"Sunday Paper, Radio",80.29,14.95,4.6345,5,prod127,s0,c2,loc0
prom19,Cash Register Lottery,In-Store Coupon,95.78,11.96,5.5016,4,prod127,s0,c6,loc0
prom20,Cash Register Lottery,"Daily Paper, Radio",59.86,8.97,4.1262,3,prod127,s0,c155,loc0
prom21,Cash Register Lottery,"Daily Paper, Radio",59.86,5.98,2.0332,2,prod127,s0,c171,loc0
prom22,Bag Stuffers,"Daily Paper, Radio",126.62,8.97,3.2292,3,prod127,s0,c172,loc0
prom23,Cash Register Lottery,"Daily Paper, Radio",59.86,5.98,2.392,2,prod127,s0,c192,loc0
prom24,Price Savers,"Sunday Paper, Radio",80.29,6.54,2.7468,2,prod128,s0,c128,loc0
prom25,Double Down Sale,Radio,50.79,9.81,4.2183,3,prod128,s0,c144,loc0
prom26,High Roller Savings,"Daily Paper, Radio",84.16,9.81,3.7278,3,prod128,s0,c147,loc0
prom27,I Cant Believe It Sale,Product Attachment,69.47,13.08,5.3628,4,prod128,s0,c152,loc0
prom28,Cash Register Lottery,"Daily Paper, Radio",59.86,9.81,3.1392,3,prod128,s0,c169,loc0
prom29,Cash Register Lottery,"Daily Paper, Radio, TV",55.59,9.81,4.7088,3,prod128,s0,c175,loc0
prom30,Double Down Sale,Radio,50.79,9.81,4.5126,3,prod128,s0,c187,loc0
prom31,Bag Stuffers,"Daily Paper, Radio",126.62,2.79,1.3671,3,prod130,s0,c130,loc0
prom32,Bag Stuffers,"Daily Paper, Radio",126.62,1.86,0.7812,2,prod130,s0,c134,loc0
prom33,I Cant Believe It Sale,Product Attachment,69.47,2.79,1.3671,3,prod130,s0,c149,loc0
prom34,Big Time Savings,Radio,53.45,2.79,0.9765,3,prod130,s0,c178,loc0
prom35,Price Slashers,"Sunday Paper, Radio, TV",54.11,3.96,1.584,3,prod131,s0,c131,loc0
prom36,Big Time Savings,Radio,53.45,2.64,1.32,2,prod131,s0,c182,loc0
prom37,Bag Stuffers,"Daily Paper, Radio",126.62,5.28,1.6896,4,prod131,s0,c184,loc0
prom38,Save-It Sale,Radio,144.38,6.24,2.8704,4,prod132,s0,c132,loc0
prom39,Price Slashers,"Sunday Paper, Radio, TV",54.11,4.68,2.1996,3,prod132,s0,c137,loc0
prom40,High Roller Savings,"Daily Paper, Radio",84.16,6.24,1.9968,4,prod132,s0,c147,loc0
prom41,High Roller Savings,"Daily Paper, Radio",84.16,4.68,2.2932,3,prod132,s0,c157,loc0
prom42,Bag Stuffers,Product Attachment,82.62,6.24,2.4336,4,prod132,s0,c170,loc0
prom43,Price Savers,"Sunday Paper, Radio",80.29,3.78,1.2474,3,prod133,s0,c133,loc0
prom44,Cash Register Lottery,"Daily Paper, Radio",59.86,8.79,2.8128,3,prod135,s0,c7,loc0
prom45,Cash Register Lottery,"Daily Paper, Radio",59.86,11.72,4.9224,4,prod135,s0,c15,loc0
prom46,Bag Stuffers,"Daily Paper, Radio",126.62,8.79,2.9886,3,prod135,s0,c135,loc0
prom47,Price Slashers,"Sunday Paper, Radio, TV",54.11,8.79,3.4281,3,prod135,s0,c136,loc0
prom48,Price Savers,"Sunday Paper, Radio",80.29,8.79,2.8128,3,prod135,s0,c141,loc0
prom49,I Cant Believe It Sale,Product Attachment,69.47,14.65,6.8855,5,prod135,s0,c153,loc0
prom50,I Cant Believe It Sale,Product Attachment,69.47,3.88,1.3968,4,prod138,s0,c138,loc0
