,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,store_city,store_state,media_type,cost,promotion_name,store_sales_in_millions
0,0,0,1.0,0,0,2,1,1.0,10000,1.0,5,1,3,126.62,0,7.36
1,0,1,0.0,3,2,3,1,4.0,50000,0.0,5,1,3,59.86,6,5.52
2,1,0,4.0,0,0,1,0,1.0,10000,0.0,5,1,3,84.16,18,3.68
3,0,0,2.0,1,1,1,1,2.0,30000,2.0,5,1,5,95.78,6,3.68
4,0,1,0.0,0,1,2,0,2.0,30000,0.0,5,1,7,50.79,11,4.08
5,0,0,2.0,3,1,3,0,1.0,50000,2.0,5,1,7,50.79,11,4.08
6,1,0,4.0,1,1,2,0,2.0,30000,0.0,5,1,5,95.78,6,5.44
7,1,1,1.0,0,1,1,1,4.0,50000,0.0,5,1,3,59.86,6,3.74
8,1,0,2.0,0,0,2,0,2.0,10000,0.0,5,1,3,59.86,6,4.08
9,1,0,3.0,4,1,3,0,1.0,70000,0.0,5,1,3,84.16,18,9.72
10,1,1,2.0,4,1,3,0,3.0,70000,0.0,5,1,2,66.27,16,9.72
11,1,1,1.0,3,1,3,0,2.0,110000,0.0,5,1,6,82.62,0,3.28
12,1,0,4.0,1,1,2,0,1.0,30000,0.0,5,1,7,53.45,4,4.08
13,1,0,0.0,0,0,2,1,0.0,10000,0.0,5,1,3,126.62,0,4.92
14,1,0,4.0,1,1,3,1,4.0,130000,0.0,5,1,10,80.29,26,7.48
15,0,1,3.0,1,1,2,1,2.0,50000,0.0,5,1,3,59.86,6,6.56
16,1,0,1.0,0,2,3,1,3.0,150000,0.0,5,1,11,54.11,27,5.61
17,0,1,0.0,0,0,1,0,0.0,10000,0.0,5,1,6,82.62,0,4.92
18,0,1,2.0,1,2,4,0,2.0,130000,2.0,9,2,3,138.81,10,7.36
19,0,1,2.0,1,1,3,1,3.0,70000,2.0,9,2,2,103.65,43,5.52
20,0,1,3.0,1,3,3,1,3.0,130000,3.0,9,2,9,69.65,38,7.36
21,0,0,3.0,0,0,2,0,1.0,10000,3.0,9,2,5,73.05,47,7.36
22,1,0,3.0,1,1,1,0,1.0,30000,0.0,9,2,9,69.65,38,4.92
23,0,0,4.0,3,1,3,1,1.0,30000,1.0,9,2,10,136.74,9,4.08
24,1,1,2.0,0,1,4,1,2.0,90000,0.0,9,2,6,149.08,32,5.44
25,0,0,2.0,0,0,2,1,1.0,10000,1.0,9,2,9,51.12,2,9.72
26,1,1,1.0,0,0,2,0,2.0,50000,0.0,9,2,9,51.12,2,4.92
27,1,1,4.0,3,1,3,1,1.0,50000,0.0,9,2,9,51.12,2,6.48
28,0,1,5.0,1,3,1,0,3.0,30000,5.0,9,2,5,73.05,47,5.61
29,1,1,5.0,1,1,1,0,3.0,30000,0.0,9,2,8,115.13,26,5.61
30,0,1,1.0,0,0,2,0,0.0,10000,0.0,9,2,5,109.06,14,9.72
31,0,1,2.0,0,0,1,1,0.0,10000,2.0,9,2,12,95.74,11,12.96
32,1,1,1.0,2,1,4,1,1.0,30000,0.0,9,2,9,69.65,38,4.92
33,0,1,4.0,1,3,3,1,2.0,90000,4.0,9,2,9,69.65,38,5.44
34,1,1,2.0,3,1,4,1,1.0,110000,0.0,9,2,9,69.65,38,5.61
35,0,0,4.0,2,3,3,1,3.0,30000,4.0,9,2,9,69.65,38,7.48
36,1,1,0.0,0,1,1,1,1.0,30000,0.0,9,2,9,51.12,2,5.61
37,0,1,1.0,1,1,4,1,4.0,130000,0.0,9,2,8,115.13,26,5.44
38,0,1,2.0,2,1,4,0,1.0,30000,0.0,9,2,3,138.81,10,7.48
39,1,0,1.0,4,2,3,1,3.0,150000,0.0,9,2,12,95.74,11,3.28
40,1,0,0.0,3,0,3,0,4.0,50000,0.0,7,2,8,138.53,35,5.52
41,1,1,2.0,2,1,1,0,2.0,30000,0.0,7,2,0,66.78,45,5.52
