,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,cost,promotion_name,store_type,store_city,store_state,media_type
0,7.36,2.7232,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
1,5.52,2.5944,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
2,3.68,1.3616,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,84.16,18,0,5,1,3
3,3.68,1.1776,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,95.78,6,0,5,1,5
4,4.08,1.428,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,50.79,11,0,5,1,7
5,4.08,1.4688,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,50.79,11,0,5,1,7
6,5.44,2.5568,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,95.78,6,0,5,1,5
7,3.74,1.6082,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
8,4.08,1.4688,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
9,9.72,4.5684,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,84.16,18,0,5,1,3
10,9.72,4.0824,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,66.27,16,0,5,1,2
11,3.28,1.5416,2.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,82.62,0,0,5,1,6
12,4.08,1.3464,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,53.45,4,0,5,1,7
13,4.92,2.3124,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,126.62,0,0,5,1,3
14,7.48,3.1416,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,80.29,26,0,5,1,10
15,6.56,3.28,4.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,59.86,6,0,5,1,3
16,5.61,2.1318,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,54.11,27,0,5,1,11
17,4.92,1.5744,3.0,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,82.62,0,0,5,1,6
18,7.36,2.5024,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,138.81,10,0,9,2,3
19,5.52,2.1528,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,103.65,43,0,9,2,2
20,7.36,3.5328,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,69.65,38,0,9,2,9
21,7.36,3.2384,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,73.05,47,0,9,2,5
22,4.92,2.1648,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,69.65,38,0,9,2,9
23,4.08,1.7952,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,136.74,9,0,9,2,10
24,5.44,2.0128,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,149.08,32,0,9,2,6
25,9.72,4.0824,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,51.12,2,0,9,2,9
26,4.92,1.722,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,51.12,2,0,9,2,9
27,6.48,3.1104,2.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,51.12,2,0,9,2,9
28,5.61,2.5806,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,73.05,47,0,9,2,5
29,5.61,2.4684,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,115.13,26,0,9,2,8
30,9.72,3.4992,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,109.06,14,0,9,2,5
31,12.96,5.832,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,95.74,11,0,9,2,12
32,4.92,2.3124,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,69.65,38,0,9,2,9
33,5.44,2.3392,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,69.65,38,0,9,2,9
34,5.61,2.4123,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,69.65,38,0,9,2,9
35,7.48,2.6928,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,69.65,38,0,9,2,9
36,5.61,2.4123,3.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,51.12,2,0,9,2,9
37,5.44,1.7408,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,115.13,26,0,9,2,8
38,7.48,2.244,4.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,138.81,10,0,9,2,3
39,3.28,1.6072,2.0,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,95.74,11,0,9,2,12
40,5.52,2.1528,3.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,138.53,35,3,7,2,8
41,5.52,2.1528,3.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,66.78,45,3,7,2,0
42,5.52,1.8768,3.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,69.63,47,3,7,2,3
43,3.68,1.3984,2.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,69.63,47,3,7,2,3
44,3.68,1.288,2.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,123.88,2,3,7,2,1
45,3.68,1.5824,2.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,76.98,27,3,7,2,7
46,6.48,2.3328,2.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,135.8,4,3,7,2,5
47,7.48,3.2912,4.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,138.53,35,3,7,2,8
48,6.48,2.1384,2.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,91.28,43,3,7,2,7
49,12.96,4.4064,4.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,138.23,28,3,7,2,6
50,5.61,2.1318,3.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,80.0,38,3,7,2,10
51,12.96,4.9248,4.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,99.77,36,3,7,2,7
52,6.48,3.24,2.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,69.63,47,3,7,2,3
53,9.72,3.888,3.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,69.63,47,3,7,2,3
54,3.74,1.87,2.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,91.28,43,3,7,2,7
55,12.96,4.1472,4.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,91.28,43,3,7,2,7
56,4.92,2.0664,3.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,59.19,11,3,7,2,8
57,9.72,4.1796,3.0,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,66.78,45,3,7,2,0
58,4.08,1.7952,3.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,116.74,31,3,8,2,0
59,7.36,3.1648,4.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,97.45,15,3,8,2,8
60,7.36,3.2384,4.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,64.99,39,3,8,2,10
61,3.68,1.1408,2.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,100.91,38,3,8,2,2
62,5.52,1.7112,3.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,79.95,46,3,8,2,11
63,3.28,1.0824,2.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,64.99,39,3,8,2,10
64,9.72,4.2768,3.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,89.37,33,3,8,2,4
65,6.56,2.4928,4.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,136.57,35,3,8,2,10
66,3.28,1.148,2.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,62.26,25,3,8,2,3
67,5.61,1.9074,3.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,136.57,35,3,8,2,10
68,2.72,1.0336,2.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,62.67,11,3,8,2,3
69,5.61,1.7391,3.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,64.99,39,3,8,2,10
70,9.72,4.4712,3.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,64.99,39,3,8,2,10
71,2.72,0.8432,2.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,57.52,44,3,8,2,4
72,16.2,5.346,5.0,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,57.52,44,3,8,2,4
73,3.68,1.3984,2.0,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,146.41,3,3,3,0,4
74,5.61,2.4684,3.0,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,128.2,26,3,3,0,1
