"store_city","store_state","store_type","store_sales_in_millions"
"Guadalajara","Jalisco","Small Grocery",0.51
"San Francisco","CA","Small Grocery",0.51
"Bellingham","WA","Small Grocery",0.52
"San Francisco","CA","Small Grocery",0.52
"Guadalajara","Jalisco","Small Grocery",0.53
"San Francisco","CA","Small Grocery",0.53
"Guadalajara","Jalisco","Small Grocery",0.54
"Bellingham","WA","Small Grocery",0.55
"San Francisco","CA","Small Grocery",0.55
"San Francisco","CA","Small Grocery",0.56
"Bellingham","WA","Small Grocery",0.57
"Guadalajara","Jalisco","Small Grocery",0.57
"San Francisco","CA","Small Grocery",0.57
"Bellingham","WA","Small Grocery",0.58
"Guadalajara","Jalisco","Small Grocery",0.6
"San Francisco","CA","Small Grocery",0.6
"Guadalajara","Jalisco","Small Grocery",0.61
"San Francisco","CA","Small Grocery",0.61
"San Francisco","CA","Small Grocery",0.62
"Bellingham","WA","Small Grocery",0.63
"Guadalajara","Jalisco","Small Grocery",0.63
"San Francisco","CA","Small Grocery",0.63
"Bellingham","WA","Small Grocery",0.64
"Bellingham","WA","Small Grocery",0.65
"Guadalajara","Jalisco","Small Grocery",0.65
"San Francisco","CA","Small Grocery",0.65
"Bellingham","WA","Small Grocery",0.66
"San Francisco","CA","Small Grocery",0.66
"Guadalajara","Jalisco","Small Grocery",0.67
"San Francisco","CA","Small Grocery",0.67
"San Francisco","CA","Small Grocery",0.68
"San Francisco","CA","Small Grocery",0.69
"Guadalajara","Jalisco","Small Grocery",0.7
"San Francisco","CA","Small Grocery",0.71
"San Francisco","CA","Small Grocery",0.72
"Bellingham","WA","Small Grocery",0.73
"Guadalajara","Jalisco","Small Grocery",0.73
"San Francisco","CA","Small Grocery",0.73
"Bellingham","WA","Small Grocery",0.74
"Guadalajara","Jalisco","Small Grocery",0.74
"San Francisco","CA","Small Grocery",0.74
"Guadalajara","Jalisco","Small Grocery",0.75
"San Francisco","CA","Small Grocery",0.75
"Bellingham","WA","Small Grocery",0.76
"Guadalajara","Jalisco","Small Grocery",0.76
"San Francisco","CA","Small Grocery",0.77
"Bellingham","WA","Small Grocery",0.78
"Bellingham","WA","Small Grocery",0.79
"Guadalajara","Jalisco","Small Grocery",0.79
"Guadalajara","Jalisco","Small Grocery",0.8
"Bellingham","WA","Small Grocery",0.81
"Guadalajara","Jalisco","Small Grocery",0.81
"Bellingham","WA","Small Grocery",0.83
"San Francisco","CA","Small Grocery",0.83
"San Francisco","CA","Small Grocery",0.84
"Bellingham","WA","Small Grocery",0.85
"San Francisco","CA","Small Grocery",0.85
"Bellingham","WA","Small Grocery",0.86
"San Francisco","CA","Small Grocery",0.86
"Bellingham","WA","Small Grocery",0.87
"Guadalajara","Jalisco","Small Grocery",0.87
"San Francisco","CA","Small Grocery",0.88
"Guadalajara","Jalisco","Small Grocery",0.89
"San Francisco","CA","Small Grocery",0.89
"Bellingham","WA","Small Grocery",0.9
"San Francisco","CA","Small Grocery",0.9
"Bellingham","WA","Small Grocery",0.91
"Bellingham","WA","Small Grocery",0.92
"San Francisco","CA","Small Grocery",0.92
"Bellingham","WA","Small Grocery",0.93
"Guadalajara","Jalisco","Small Grocery",0.93
"San Francisco","CA","Small Grocery",0.93
"Guadalajara","Jalisco","Small Grocery",0.94
"San Francisco","CA","Small Grocery",0.95
"Bellingham","WA","Small Grocery",0.96
"Guadalajara","Jalisco","Small Grocery",0.96
"San Francisco","CA","Small Grocery",0.96
"Bellingham","WA","Small Grocery",0.97
"San Francisco","CA","Small Grocery",0.97
"Bellingham","WA","Small Grocery",0.98
"Guadalajara","Jalisco","Small Grocery",0.99
"San Francisco","CA","Small Grocery",0.99
"Acapulco","Guerrero","Supermarket",1
"Bremerton","WA","Supermarket",1
"Camacho","Zacatecas","Gourmet Supermarket",1
"Hidalgo","Zacatecas","Deluxe Supermarket",1
"Los Angeles","CA","Supermarket",1
"Mexico City","DF","Mid-Size Grocery",1
"Portland","OR","Supermarket",1
"Salem","OR","Deluxe Supermarket",1
"Seattle","WA","Supermarket",1
"Spokane","WA","Supermarket",1
"Tacoma","WA","Deluxe Supermarket",1
"Vancouver","BC","Deluxe Supermarket",1
"Victoria","BC","Mid-Size Grocery",1
"Acapulco","Guerrero","Supermarket",1.02
"Bellingham","WA","Small Grocery",1.02
"Beverly Hills","CA","Gourmet Supermarket",1.02
"Bremerton","WA","Supermarket",1.02
"Camacho","Zacatecas","Gourmet Supermarket",1.02
"Guadalajara","Jalisco","Small Grocery",1.02
"Hidalgo","Zacatecas","Deluxe Supermarket",1.02
"Los Angeles","CA","Supermarket",1.02
"Merida","Yucatan","Deluxe Supermarket",1.02
"Mexico City","DF","Mid-Size Grocery",1.02
"Orizaba","Veracruz","Supermarket",1.02
"Portland","OR","Supermarket",1.02
"Salem","OR","Deluxe Supermarket",1.02
"Seattle","WA","Supermarket",1.02
"Spokane","WA","Supermarket",1.02
"Tacoma","WA","Deluxe Supermarket",1.02
"Bellingham","WA","Small Grocery",1.04
"Beverly Hills","CA","Gourmet Supermarket",1.04
"Merida","Yucatan","Deluxe Supermarket",1.04
"Mexico City","DF","Mid-Size Grocery",1.04
"Orizaba","Veracruz","Supermarket",1.04
"Portland","OR","Supermarket",1.04
"Seattle","WA","Supermarket",1.04
"Spokane","WA","Supermarket",1.04
"Tacoma","WA","Deluxe Supermarket",1.04
"Vancouver","BC","Deluxe Supermarket",1.04
"Acapulco","Guerrero","Supermarket",1.06
"Bellingham","WA","Small Grocery",1.06
"Beverly Hills","CA","Gourmet Supermarket",1.06
"Bremerton","WA","Supermarket",1.06
"Camacho","Zacatecas","Gourmet Supermarket",1.06
"Guadalajara","Jalisco","Small Grocery",1.06
"Hidalgo","Zacatecas","Deluxe Supermarket",1.06
"Hidalgo","Zacatecas","Mid-Size Grocery",1.06
"Los Angeles","CA","Supermarket",1.06
"Merida","Yucatan","Deluxe Supermarket",1.06
"Mexico City","DF","Mid-Size Grocery",1.06
"Portland","OR","Supermarket",1.06
"Salem","OR","Deluxe Supermarket",1.06
"San Francisco","CA","Small Grocery",1.06
"Seattle","WA","Supermarket",1.06
"Spokane","WA","Supermarket",1.06
"Tacoma","WA","Deluxe Supermarket",1.06
"Vancouver","BC","Deluxe Supermarket",1.06
"Acapulco","Guerrero","Supermarket",1.08
"Bellingham","WA","Small Grocery",1.08
"Beverly Hills","CA","Gourmet Supermarket",1.08
"Bremerton","WA","Supermarket",1.08
"Camacho","Zacatecas","Gourmet Supermarket",1.08
"Guadalajara","Jalisco","Small Grocery",1.08
"Hidalgo","Zacatecas","Deluxe Supermarket",1.08
"Hidalgo","Zacatecas","Mid-Size Grocery",1.08
"Los Angeles","CA","Supermarket",1.08
"Merida","Yucatan","Deluxe Supermarket",1.08
"Mexico City","DF","Mid-Size Grocery",1.08
"Portland","OR","Supermarket",1.08
"Salem","OR","Deluxe Supermarket",1.08
"San Francisco","CA","Small Grocery",1.08
"Seattle","WA","Supermarket",1.08
"Spokane","WA","Supermarket",1.08
"Tacoma","WA","Deluxe Supermarket",1.08
"Vancouver","BC","Deluxe Supermarket",1.08
"Acapulco","Guerrero","Supermarket",1.1
"Bellingham","WA","Small Grocery",1.1
"Beverly Hills","CA","Gourmet Supermarket",1.1
"Bremerton","WA","Supermarket",1.1
"Camacho","Zacatecas","Gourmet Supermarket",1.1
"Guadalajara","Jalisco","Small Grocery",1.1
"Hidalgo","Zacatecas","Deluxe Supermarket",1.1
"Hidalgo","Zacatecas","Mid-Size Grocery",1.1
"Los Angeles","CA","Supermarket",1.1
"Merida","Yucatan","Deluxe Supermarket",1.1
"Orizaba","Veracruz","Supermarket",1.1
"Portland","OR","Supermarket",1.1
"Salem","OR","Deluxe Supermarket",1.1
"San Francisco","CA","Small Grocery",1.1
"Seattle","WA","Supermarket",1.1
"Spokane","WA","Supermarket",1.1
"Tacoma","WA","Deluxe Supermarket",1.1
"Vancouver","BC","Deluxe Supermarket",1.1
"Victoria","BC","Mid-Size Grocery",1.1
"Acapulco","Guerrero","Supermarket",1.12
"Beverly Hills","CA","Gourmet Supermarket",1.12
"Bremerton","WA","Supermarket",1.12
"Guadalajara","Jalisco","Small Grocery",1.12
"Hidalgo","Zacatecas","Deluxe Supermarket",1.12
"Hidalgo","Zacatecas","Mid-Size Grocery",1.12
"Los Angeles","CA","Supermarket",1.12
"Merida","Yucatan","Deluxe Supermarket",1.12
"Portland","OR","Supermarket",1.12
"Salem","OR","Deluxe Supermarket",1.12
"Seattle","WA","Supermarket",1.12
"Spokane","WA","Supermarket",1.12
"Tacoma","WA","Deluxe Supermarket",1.12
"Victoria","BC","Mid-Size Grocery",1.12
"Guadalajara","Jalisco","Small Grocery",1.13
"San Francisco","CA","Small Grocery",1.13
"Acapulco","Guerrero","Supermarket",1.14
"Bellingham","WA","Small Grocery",1.14
"Beverly Hills","CA","Gourmet Supermarket",1.14
"Bremerton","WA","Supermarket",1.14
"Camacho","Zacatecas","Gourmet Supermarket",1.14
"Guadalajara","Jalisco","Small Grocery",1.14
"Hidalgo","Zacatecas","Deluxe Supermarket",1.14
"Los Angeles","CA","Supermarket",1.14
"Merida","Yucatan","Deluxe Supermarket",1.14
"Mexico City","DF","Mid-Size Grocery",1.14
"Orizaba","Veracruz","Supermarket",1.14
"Portland","OR","Supermarket",1.14
"Salem","OR","Deluxe Supermarket",1.14
"San Francisco","CA","Small Grocery",1.14
"Seattle","WA","Supermarket",1.14
"Spokane","WA","Supermarket",1.14
"Tacoma","WA","Deluxe Supermarket",1.14
"Vancouver","BC","Deluxe Supermarket",1.14
"Victoria","BC","Mid-Size Grocery",1.14
"Bellingham","WA","Small Grocery",1.15
"Guadalajara","Jalisco","Small Grocery",1.15
"San Francisco","CA","Small Grocery",1.15
"Bellingham","WA","Small Grocery",1.16
"Beverly Hills","CA","Gourmet Supermarket",1.16
"Bremerton","WA","Supermarket",1.16
"Guadalajara","Jalisco","Small Grocery",1.16
"Hidalgo","Zacatecas","Deluxe Supermarket",1.16
"Los Angeles","CA","Supermarket",1.16
"Merida","Yucatan","Deluxe Supermarket",1.16
"Orizaba","Veracruz","Supermarket",1.16
"Portland","OR","Supermarket",1.16
"Salem","OR","Deluxe Supermarket",1.16
"San Francisco","CA","Small Grocery",1.16
"Seattle","WA","Supermarket",1.16
"Spokane","WA","Supermarket",1.16
"Tacoma","WA","Deluxe Supermarket",1.16
"Vancouver","BC","Deluxe Supermarket",1.16
"Bellingham","WA","Small Grocery",1.17
"Guadalajara","Jalisco","Small Grocery",1.17
"Bellingham","WA","Small Grocery",1.18
"Beverly Hills","CA","Gourmet Supermarket",1.18
"Camacho","Zacatecas","Gourmet Supermarket",1.18
"Hidalgo","Zacatecas","Deluxe Supermarket",1.18
"Merida","Yucatan","Deluxe Supermarket",1.18
"Mexico City","DF","Mid-Size Grocery",1.18
"Orizaba","Veracruz","Supermarket",1.18
"Portland","OR","Supermarket",1.18
"Salem","OR","Deluxe Supermarket",1.18
"San Francisco","CA","Small Grocery",1.18
"Spokane","WA","Supermarket",1.18
"Tacoma","WA","Deluxe Supermarket",1.18
"Vancouver","BC","Deluxe Supermarket",1.18
"Victoria","BC","Mid-Size Grocery",1.18
"Acapulco","Guerrero","Supermarket",1.2
"Bellingham","WA","Small Grocery",1.2
"Beverly Hills","CA","Gourmet Supermarket",1.2
"Bremerton","WA","Supermarket",1.2
"Camacho","Zacatecas","Gourmet Supermarket",1.2
"Hidalgo","Zacatecas","Deluxe Supermarket",1.2
"Los Angeles","CA","Supermarket",1.2
"Merida","Yucatan","Deluxe Supermarket",1.2
"Mexico City","DF","Mid-Size Grocery",1.2
"Orizaba","Veracruz","Supermarket",1.2
"Portland","OR","Supermarket",1.2
"Salem","OR","Deluxe Supermarket",1.2
"San Francisco","CA","Small Grocery",1.2
"Seattle","WA","Supermarket",1.2
"Spokane","WA","Supermarket",1.2
"Tacoma","WA","Deluxe Supermarket",1.2
"Vancouver","BC","Deluxe Supermarket",1.2
"Victoria","BC","Mid-Size Grocery",1.2
"San Francisco","CA","Small Grocery",1.21
"Bellingham","WA","Small Grocery",1.22
"Beverly Hills","CA","Gourmet Supermarket",1.22
"Bremerton","WA","Supermarket",1.22
"Camacho","Zacatecas","Gourmet Supermarket",1.22
"Guadalajara","Jalisco","Small Grocery",1.22
"Hidalgo","Zacatecas","Deluxe Supermarket",1.22
"Los Angeles","CA","Supermarket",1.22
"Merida","Yucatan","Deluxe Supermarket",1.22
"Mexico City","DF","Mid-Size Grocery",1.22
"Orizaba","Veracruz","Supermarket",1.22
"Portland","OR","Supermarket",1.22
"Salem","OR","Deluxe Supermarket",1.22
"San Francisco","CA","Small Grocery",1.22
"Seattle","WA","Supermarket",1.22
"Spokane","WA","Supermarket",1.22
"Tacoma","WA","Deluxe Supermarket",1.22
"Vancouver","BC","Deluxe Supermarket",1.22
"Bellingham","WA","Small Grocery",1.24
"Beverly Hills","CA","Gourmet Supermarket",1.24
"Camacho","Zacatecas","Gourmet Supermarket",1.24
"Hidalgo","Zacatecas","Mid-Size Grocery",1.24
"Los Angeles","CA","Supermarket",1.24
"Merida","Yucatan","Deluxe Supermarket",1.24
"Orizaba","Veracruz","Supermarket",1.24
"Portland","OR","Supermarket",1.24
"Salem","OR","Deluxe Supermarket",1.24
"Seattle","WA","Supermarket",1.24
"Spokane","WA","Supermarket",1.24
"Tacoma","WA","Deluxe Supermarket",1.24
"Bellingham","WA","Small Grocery",1.25
"Guadalajara","Jalisco","Small Grocery",1.25
"San Francisco","CA","Small Grocery",1.25
