"store_city","store_state","id"
"Vancouver","BC",5743
"Vancouver","BC",41709
"Vancouver","BC",20546
"Vancouver","BC",5742
"Vancouver","BC",48986
"Victoria","BC",39064
"Victoria","BC",28208
"Vancouver","BC",9840
"Vancouver","BC",31464
"Vancouver","BC",59082
"Vancouver","BC",36696
"Victoria","BC",11886
"Vancouver","BC",40243
"Vancouver","BC",24055
"Vancouver","BC",7341
"Vancouver","BC",9826
"Vancouver","BC",9872
"Vancouver","BC",1824
"Vancouver","BC",20603
"Vancouver","BC",58285
"Vancouver","BC",53160
"Vancouver","BC",58896
"Vancouver","BC",20599
"Vancouver","BC",24488
"Vancouver","BC",37576
"Vancouver","BC",22585
"Vancouver","BC",5804
"Vancouver","BC",37573
"Vancouver","BC",38983
"Vancouver","BC",34771
"Victoria","BC",16651
"Vancouver","BC",32960
"Vancouver","BC",8248
"Vancouver","BC",52156
"Vancouver","BC",17548
"Victoria","BC",10151
"Vancouver","BC",5756
"Vancouver","BC",18955
"Vancouver","BC",37577
"Victoria","BC",60428
"Vancouver","BC",55458
"Victoria","BC",11876
"Vancouver","BC",20550
"Vancouver","BC",56883
"Vancouver","BC",14797
"Vancouver","BC",19000
"Victoria","BC",44980
"Vancouver","BC",20591
"Vancouver","BC",14798
"Vancouver","BC",13880
"Vancouver","BC",38077
"Vancouver","BC",11544
"Vancouver","BC",40245
"Vancouver","BC",18976
"Vancouver","BC",28134
"Vancouver","BC",44723
"Vancouver","BC",12253
"Vancouver","BC",29486
"Vancouver","BC",28844
"Vancouver","BC",16524
"Vancouver","BC",11624
"Vancouver","BC",26852
"Vancouver","BC",5765
"Vancouver","BC",59085
"Vancouver","BC",60397
"Vancouver","BC",54752
"Vancouver","BC",40242
"Vancouver","BC",55455
"Vancouver","BC",36682
"Victoria","BC",57760
"Vancouver","BC",12843
"Vancouver","BC",54762
"Vancouver","BC",7339
"Victoria","BC",33280
"Vancouver","BC",26835
"Vancouver","BC",41070
"Vancouver","BC",22563
"Vancouver","BC",32953
"Vancouver","BC",45944
"Vancouver","BC",30842
"Vancouver","BC",14780
"Vancouver","BC",35164
"Vancouver","BC",5723
"Victoria","BC",42382
"Victoria","BC",49904
"Vancouver","BC",19722
"Vancouver","BC",41955
"Victoria","BC",27280
"Vancouver","BC",29470
"Vancouver","BC",47246
"Vancouver","BC",9864
"Vancouver","BC",26762
"Vancouver","BC",59421
"Vancouver","BC",32979
"Vancouver","BC",51595
"Vancouver","BC",59084
"Vancouver","BC",9863
"Victoria","BC",54854
"Vancouver","BC",54133
"Vancouver","BC",41699
"Vancouver","BC",34800
"Vancouver","BC",58280
"Vancouver","BC",831
"Vancouver","BC",13896
"Vancouver","BC",59990
"Vancouver","BC",5885
"Vancouver","BC",30205
"Vancouver","BC",22553
"Vancouver","BC",859
"Vancouver","BC",9805
"Vancouver","BC",40219
"Vancouver","BC",55774
"Victoria","BC",31560
"Vancouver","BC",858
"Vancouver","BC",21082
"Vancouver","BC",18960
"Vancouver","BC",53150
"Vancouver","BC",47483
"Vancouver","BC",58306
"Victoria","BC",27819
"Vancouver","BC",34766
"Vancouver","BC",50093
"Vancouver","BC",56899
"Vancouver","BC",28883
"Vancouver","BC",18999
"Victoria","BC",22687
"Vancouver","BC",36699
"Vancouver","BC",49837
"Vancouver","BC",5812
"Vancouver","BC",11546
"Victoria","BC",51119
"Vancouver","BC",59834
"Victoria","BC",33278
"Victoria","BC",195
"Vancouver","BC",9815
"Vancouver","BC",5773
"Vancouver","BC",5829
"Vancouver","BC",16812
"Victoria","BC",41801
"Vancouver","BC",14806
"Victoria","BC",10160
"Victoria","BC",53313
"Vancouver","BC",1144
"Vancouver","BC",9828
"Vancouver","BC",30863
"Victoria","BC",39466
"Vancouver","BC",21821
"Vancouver","BC",50092
"Victoria","BC",6634
"Vancouver","BC",45971
"Vancouver","BC",30841
"Vancouver","BC",58675
"Vancouver","BC",11608
"Vancouver","BC",44948
"Vancouver","BC",50288
"Vancouver","BC",27729
"Vancouver","BC",31469
"Vancouver","BC",9800
"Vancouver","BC",16989
"Victoria","BC",44781
"Vancouver","BC",57724
"Vancouver","BC",54103
"Vancouver","BC",5910
"Vancouver","BC",15729
"Victoria","BC",16652
"Vancouver","BC",48210
"Vancouver","BC",32949
"Vancouver","BC",5833
"Vancouver","BC",8204
"Vancouver","BC",5935
"Vancouver","BC",43256
"Vancouver","BC",26723
"Victoria","BC",16653
"Vancouver","BC",32988
"Vancouver","BC",18945
"Victoria","BC",36187
"Vancouver","BC",53170
"Vancouver","BC",28147
"Victoria","BC",54850
"Vancouver","BC",14818
"Vancouver","BC",14809
"Vancouver","BC",8231
"Vancouver","BC",35525
"Vancouver","BC",15738
"Vancouver","BC",53174
"Vancouver","BC",1820
"Vancouver","BC",31466
"Vancouver","BC",33738
"Vancouver","BC",58668
"Vancouver","BC",5825
"Vancouver","BC",24054
"Vancouver","BC",23696
"Victoria","BC",19237
"Vancouver","BC",16506
"Vancouver","BC",54755
"Vancouver","BC",28846
"Victoria","BC",11872
"Vancouver","BC",37564
"Vancouver","BC",27720
"Vancouver","BC",43279
"Vancouver","BC",52174
"Vancouver","BC",28854
"Vancouver","BC",51583
"Victoria","BC",27273
"Vancouver","BC",59996
"Vancouver","BC",5909
"Vancouver","BC",41064
"Vancouver","BC",5797
"Vancouver","BC",26804
"Vancouver","BC",18962
"Vancouver","BC",56364
"Vancouver","BC",34822
"Victoria","BC",35595
"Vancouver","BC",26855
"Vancouver","BC",13900
"Vancouver","BC",18938
"Vancouver","BC",28889
"Vancouver","BC",18959
"Vancouver","BC",5920
"Vancouver","BC",9794
"Vancouver","BC",5753
"Victoria","BC",24605
"Vancouver","BC",35508
"Vancouver","BC",35521
"Vancouver","BC",43250
"Vancouver","BC",5891
"Vancouver","BC",27719
"Vancouver","BC",52442
"Vancouver","BC",49826
"Victoria","BC",6643
"Vancouver","BC",14789
"Victoria","BC",41198
"Victoria","BC",36186
"Vancouver","BC",59829
"Vancouver","BC",42573
"Vancouver","BC",22556
"Vancouver","BC",33033
"Vancouver","BC",21831
"Victoria","BC",16646
"Vancouver","BC",44734
"Victoria","BC",27277
"Vancouver","BC",17559
"Vancouver","BC",26727
"Vancouver","BC",5725
"Vancouver","BC",44104
"Vancouver","BC",19009
"Vancouver","BC",51600
"Vancouver","BC",51031
"Vancouver","BC",59993
"Vancouver","BC",14783
"Vancouver","BC",5815
"Victoria","BC",23890
"Vancouver","BC",45923
"Vancouver","BC",5954
"Vancouver","BC",58300
"Victoria","BC",50314
"Vancouver","BC",5736
"Vancouver","BC",59424
"Victoria","BC",34990
"Vancouver","BC",58296
"Vancouver","BC",18933
"Vancouver","BC",21798
"Vancouver","BC",30185
"Vancouver","BC",14785
"Vancouver","BC",49843
"Vancouver","BC",14786
"Vancouver","BC",14819
"Vancouver","BC",12488
"Vancouver","BC",58295
"Vancouver","BC",54750
"Vancouver","BC",8250
"Vancouver","BC",41960
"Vancouver","BC",30199
"Vancouver","BC",855
"Vancouver","BC",33004
"Vancouver","BC",20557
"Vancouver","BC",20555
"Vancouver","BC",14823
"Victoria","BC",27285
"Vancouver","BC",49842
"Vancouver","BC",50491
"Vancouver","BC",7349
"Vancouver","BC",5745
"Vancouver","BC",33729
"Vancouver","BC",7327
"Vancouver","BC",22571
"Vancouver","BC",43272
"Vancouver","BC",37608
"Vancouver","BC",40214
"Vancouver","BC",59087
"Vancouver","BC",1795
"Victoria","BC",14973
"Vancouver","BC",12255
"Vancouver","BC",16807
"Vancouver","BC",38271
"Vancouver","BC",34776
"Vancouver","BC",32991
"Vancouver","BC",26780
"Victoria","BC",11878
"Vancouver","BC",36710
"Vancouver","BC",49434
"Vancouver","BC",5985
"Vancouver","BC",44733
"Vancouver","BC",59428
"Vancouver","BC",59632
"Vancouver","BC",26750
"Vancouver","BC",39406
"Vancouver","BC",21803
"Vancouver","BC",30194
"Vancouver","BC",48214
"Vancouver","BC",16527
"Vancouver","BC",26736
"Vancouver","BC",57512
"Victoria","BC",20767
"Vancouver","BC",39396
"Vancouver","BC",60394
"Vancouver","BC",26812
"Vancouver","BC",20573
"Vancouver","BC",11630
"Vancouver","BC",43261
"Vancouver","BC",48987
"Vancouver","BC",37586
"Vancouver","BC",40221
"Vancouver","BC",21793
"Victoria","BC",8423
"Vancouver","BC",36695
"Vancouver","BC",28144
"Vancouver","BC",28875
"Vancouver","BC",28852
"Vancouver","BC",43575
"Vancouver","BC",48202
"Vancouver","BC",44102
"Vancouver","BC",26827
"Vancouver","BC",17560
"Vancouver","BC",1804
"Vancouver","BC",5819
"Vancouver","BC",30188
"Vancouver","BC",30847
"Vancouver","BC",26761
"Vancouver","BC",45929
"Vancouver","BC",23693
"Victoria","BC",30336
"Vancouver","BC",49846
"Vancouver","BC",26851
"Victoria","BC",57954
"Vancouver","BC",28141
"Victoria","BC",7464
"Victoria","BC",20764
"Vancouver","BC",38472
"Vancouver","BC",47256
"Vancouver","BC",46892
"Vancouver","BC",42307
"Vancouver","BC",39408
"Vancouver","BC",21086
"Vancouver","BC",8254
"Vancouver","BC",35741
"Vancouver","BC",26858
"Vancouver","BC",26859
"Vancouver","BC",33035
"Vancouver","BC",9793
"Vancouver","BC",51594
"Vancouver","BC",32948
"Vancouver","BC",16504
"Vancouver","BC",39395
"Vancouver","BC",38069
"Vancouver","BC",37594
"Victoria","BC",49512
"Vancouver","BC",52182
"Vancouver","BC",5941
"Vancouver","BC",46888
"Victoria","BC",44778
"Vancouver","BC",42314
"Vancouver","BC",26861
"Vancouver","BC",29471
"Vancouver","BC",33722
"Vancouver","BC",38968
"Vancouver","BC",54110
"Vancouver","BC",39399
"Vancouver","BC",23677
"Victoria","BC",6639
"Vancouver","BC",28869
"Vancouver","BC",21809
"Victoria","BC",11880
"Vancouver","BC",11605
"Vancouver","BC",26731
"Victoria","BC",23888
"Victoria","BC",40383
"Vancouver","BC",28848
"Vancouver","BC",46653
"Vancouver","BC",48974
"Victoria","BC",33277
"Vancouver","BC",21818
"Victoria","BC",6636
"Vancouver","BC",23674
"Vancouver","BC",20563
"Vancouver","BC",853
"Vancouver","BC",38985
"Vancouver","BC",20588
"Vancouver","BC",15712
"Vancouver","BC",48994
"Vancouver","BC",37601
"Vancouver","BC",41689
"Vancouver","BC",35158
"Vancouver","BC",8222
"Victoria","BC",33272
"Vancouver","BC",1822
"Vancouver","BC",33030
"Vancouver","BC",9797
"Vancouver","BC",57729
"Victoria","BC",33275
"Victoria","BC",17673
"Vancouver","BC",56904
"Vancouver","BC",19709
"Vancouver","BC",26757
"Vancouver","BC",56124
"Vancouver","BC",8214
"Victoria","BC",990
"Vancouver","BC",23671
"Vancouver","BC",52448
"Vancouver","BC",21810
"Vancouver","BC",11558
"Vancouver","BC",19016
"Vancouver","BC",31452
"Vancouver","BC",11609
"Vancouver","BC",15708
"Vancouver","BC",38074
"Vancouver","BC",841
"Vancouver","BC",5846
"Victoria","BC",52265
"Vancouver","BC",59837
"Vancouver","BC",34780
"Vancouver","BC",5854
"Vancouver","BC",30202
"Vancouver","BC",26766
"Vancouver","BC",50489
"Vancouver","BC",48978
"Victoria","BC",17670
"Vancouver","BC",16811
"Vancouver","BC",42315
"Vancouver","BC",51026
"Vancouver","BC",50084
"Vancouver","BC",5961
"Vancouver","BC",56901
"Vancouver","BC",14800
"Vancouver","BC",51014
"Vancouver","BC",36702
"Vancouver","BC",21081
"Vancouver","BC",13904
"Vancouver","BC",40212
"Vancouver","BC",11592
"Vancouver","BC",33013
"Vancouver","BC",8242
"Victoria","BC",44204
"Vancouver","BC",44735
"Victoria","BC",30981
"Vancouver","BC",59836
"Vancouver","BC",5983
"Vancouver","BC",12244
"Victoria","BC",55609
"Vancouver","BC",835
"Vancouver","BC",18936
"Vancouver","BC",22583
"Vancouver","BC",34787
"Vancouver","BC",5878
"Victoria","BC",8417
"Vancouver","BC",28148
"Vancouver","BC",48186
"Vancouver","BC",34798
"Vancouver","BC",51593
"Vancouver","BC",53168
"Vancouver","BC",56906
"Vancouver","BC",30840
"Vancouver","BC",54126
"Vancouver","BC",30210
"Vancouver","BC",58288
"Vancouver","BC",44091
"Vancouver","BC",42317
"Victoria","BC",30335
"Vancouver","BC",23661
