"brand_name","food_category","food_department","food_family","srp","gross_weight","net_weight","recyclable_package","low_fat","units_per_case"
"Carrington","Breakfast Foods","Frozen Foods","Food",1.84,19.7,17.7,1,0,17
"Carrington","Breakfast Foods","Frozen Foods","Food",1.84,19.7,17.7,1,0,17
"Carrington","Breakfast Foods","Frozen Foods","Food",1.84,19.7,17.7,1,0,17
"Carrington","Breakfast Foods","Frozen Foods","Food",1.84,19.7,17.7,1,0,17
"Golden","Breakfast Foods","Frozen Foods","Food",1.36,7.12,5.11,0,1,29
"Golden","Breakfast Foods","Frozen Foods","Food",1.36,7.12,5.11,0,1,29
"Golden","Breakfast Foods","Frozen Foods","Food",1.36,7.12,5.11,0,1,29
"Imagine","Breakfast Foods","Frozen Foods","Food",1.87,16.7,14.7,1,1,10
"Golden","Breakfast Foods","Frozen Foods","Food",1.36,7.12,5.11,0,1,29
"Big Time","Breakfast Foods","Frozen Foods","Food",3.24,16.3,14.2,1,0,25
"Big Time","Breakfast Foods","Frozen Foods","Food",3.24,16.3,14.2,1,0,25
"PigTail","Breakfast Foods","Frozen Foods","Food",1.64,14.1,13.1,0,1,25
"Golden","Breakfast Foods","Frozen Foods","Food",1.36,7.12,5.11,0,1,29
"PigTail","Breakfast Foods","Frozen Foods","Food",1.64,14.1,13.1,0,1,25
"Imagine","Breakfast Foods","Frozen Foods","Food",1.87,16.7,14.7,1,1,10
"PigTail","Breakfast Foods","Frozen Foods","Food",1.64,14.1,13.1,0,1,25
"Imagine","Breakfast Foods","Frozen Foods","Food",1.87,16.7,14.7,1,1,10
"PigTail","Breakfast Foods","Frozen Foods","Food",1.64,14.1,13.1,0,1,25
"Carrington","Breakfast Foods","Frozen Foods","Food",1.84,19.7,17.7,1,0,17
"Carrington","Breakfast Foods","Frozen Foods","Food",1.84,19.7,17.7,1,0,17
"Carrington","Breakfast Foods","Frozen Foods","Food",1.84,19.7,17.7,1,0,17
"Carrington","Breakfast Foods","Frozen Foods","Food",1.84,19.7,17.7,1,0,17
"PigTail","Breakfast Foods","Frozen Foods","Food",1.64,14.1,13.1,0,1,25
"Golden","Breakfast Foods","Frozen Foods","Food",1.36,7.12,5.11,0,1,29
"Golden","Breakfast Foods","Frozen Foods","Food",1.36,7.12,5.11,0,1,29
"Big Time","Breakfast Foods","Frozen Foods","Food",3.24,16.3,14.2,1,0,25
"PigTail","Breakfast Foods","Frozen Foods","Food",1.64,14.1,13.1,0,1,25
"Big Time","Breakfast Foods","Frozen Foods","Food",3.24,16.3,14.2,1,0,25
"Imagine","Breakfast Foods","Frozen Foods","Food",1.87,16.7,14.7,1,1,10
"Imagine","Breakfast Foods","Frozen Foods","Food",1.87,16.7,14.7,1,1,10
"Big Time","Breakfast Foods","Frozen Foods","Food",3.24,16.3,14.2,1,0,25
"Big Time","Breakfast Foods","Frozen Foods","Food",3.24,16.3,14.2,1,0,25
