"id","store_type","store_sqft","grocery_sqft","frozen_sqft","meat_sqft","coffee_bar","video_store","salad_bar","prepared_food","florist"
1,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
2,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
3,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
4,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
5,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
6,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
7,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
8,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
9,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
10,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
11,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
12,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
13,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
14,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
15,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
16,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
17,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
18,"Deluxe Supermarket",27694,18670,5415,3610,1,1,1,1,1
19,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
20,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
21,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
22,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
23,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
24,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
25,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
26,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
27,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
28,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
29,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
30,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
31,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
32,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
33,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
34,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
35,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
36,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
37,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
38,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
39,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
40,"Deluxe Supermarket",33858,22123,7041,4694,1,0,1,1,1
41,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
42,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
43,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
44,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
45,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
46,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
47,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
48,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
49,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
50,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
51,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
52,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
53,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
54,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
55,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
56,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
57,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
58,"Supermarket",21215,13305,4746,3164,1,0,0,0,0
59,"Supermarket",30268,22063,4923,3282,0,0,0,0,0
60,"Supermarket",30268,22063,4923,3282,0,0,0,0,0
61,"Supermarket",30268,22063,4923,3282,0,0,0,0,0
62,"Supermarket",30268,22063,4923,3282,0,0,0,0,0
63,"Supermarket",30268,22063,4923,3282,0,0,0,0,0
